created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2021-07-19 18:53:53 UTC,1,0,,,,,,
2021-07-19 18:54:09 UTC,2,0,,,,,,
2021-07-19 18:54:24 UTC,3,3.00093,,,,,,
2021-07-19 18:54:41 UTC,4,0,,,,,,
2021-07-19 18:54:56 UTC,5,0,,,,,,
2021-07-19 18:55:11 UTC,6,0,,,,,,
2021-07-19 18:55:27 UTC,7,0,,,,,,
2021-07-19 18:55:42 UTC,8,1.53229,,,,,,
2021-07-19 18:55:57 UTC,9,1.53229,,,,,,
2021-07-19 18:56:12 UTC,10,0,,,,,,
2021-07-19 18:56:27 UTC,11,0,,,,,,
2021-07-19 18:56:47 UTC,12,0,,,,,,
2021-07-19 18:57:03 UTC,13,0,,,,,,
2021-07-19 18:57:21 UTC,14,0,,,,,,
2021-07-19 18:57:36 UTC,15,0,,,,,,
2021-07-19 18:57:53 UTC,16,0.73527,,,,,,
2021-07-19 18:58:09 UTC,17,0.73527,,,,,,
2021-07-19 18:58:25 UTC,18,0.73527,,,,,,
2021-07-19 18:58:40 UTC,19,0.73527,,,,,,
2021-07-19 18:58:59 UTC,20,0.73527,,,,,,
2021-07-19 18:59:17 UTC,21,0.73527,,,,,,
2021-07-19 18:59:36 UTC,22,0.73527,,,,,,
2021-07-19 18:59:55 UTC,23,0.73527,,,,,,
2021-07-19 19:00:18 UTC,24,0,,,,,,
2021-07-19 19:00:33 UTC,25,0,,,,,,
2021-07-19 19:00:49 UTC,26,3.6531,,,,,,
2021-07-19 19:01:04 UTC,27,3.6531,,,,,,
2021-07-19 19:01:19 UTC,28,3.6531,,,,,,
2021-07-19 19:01:36 UTC,29,3.6531,,,,,,
2021-07-19 19:01:53 UTC,30,3.6531,,,,,,
2021-07-19 19:02:11 UTC,31,3.6531,,,,,,
2021-07-19 19:02:57 UTC,32,0,,,,,,
2021-07-19 19:03:12 UTC,33,0,,,,,,
2021-07-19 19:03:27 UTC,34,0,,,,,,
2021-07-19 19:03:42 UTC,35,0,,,,,,
2021-07-19 19:03:58 UTC,36,0,,,,,,
2021-07-19 19:04:13 UTC,37,0,,,,,,
2021-07-19 19:04:28 UTC,38,0,,,,,,
2021-07-19 19:04:43 UTC,39,0,,,,,,
2021-07-19 19:05:03 UTC,40,,,-127,,,,
2021-07-19 19:05:18 UTC,41,,0,,,,,
2021-07-19 19:05:33 UTC,42,0,,,,,,
2021-07-19 19:05:49 UTC,43,0,,,,,,
2021-07-19 19:06:05 UTC,44,0,,,,,,
2021-07-19 19:06:20 UTC,45,0,,,,,,
2021-07-19 19:06:35 UTC,46,0,,,,,,
2021-07-19 19:06:50 UTC,47,,0,,,,,
2021-07-19 19:07:05 UTC,48,,0,,,,,
2021-07-19 19:07:21 UTC,49,,,-127,,,,
2021-07-19 19:07:36 UTC,50,0,,,,,,
2021-07-19 19:07:52 UTC,51,0,,,,,,
2021-07-19 19:08:07 UTC,52,,,31.8125,,,,
2021-07-19 19:08:23 UTC,53,0,,,,,,
2021-07-19 19:08:38 UTC,54,,0,,,,,
2021-07-19 19:08:53 UTC,55,,,-127,,,,
2021-07-19 19:09:09 UTC,56,,0,,,,,
2021-07-19 19:09:25 UTC,57,0.28951,,,,,,
2021-07-19 19:09:41 UTC,58,17.49475,,,,,,
2021-07-19 19:09:56 UTC,59,0,,,,,,
2021-07-19 19:10:11 UTC,60,3.08671,,,,,,
2021-07-19 19:10:31 UTC,61,3.08671,,,,,,
2021-07-19 19:10:46 UTC,62,,0,,,,,
2021-07-19 19:11:02 UTC,63,0,,,,,,
2021-07-19 19:11:17 UTC,64,0,,,,,,
2021-07-19 19:11:32 UTC,65,0,,,,,,
2021-07-19 19:11:48 UTC,66,0,,,,,,
2021-07-19 19:12:04 UTC,67,0,,,,,,
2021-07-19 19:12:20 UTC,68,,0,,,,,
2021-07-19 19:12:35 UTC,69,,0,,,,,
2021-07-19 19:12:50 UTC,70,,0,,,,,
2021-07-19 19:13:06 UTC,71,,,-127,,,,
2021-07-19 19:13:22 UTC,72,0,,,,,,
2021-07-19 19:13:37 UTC,73,0,,,,,,
2021-07-19 19:13:53 UTC,74,,0,,,,,
2021-07-19 19:18:08 UTC,75,0,,,,,,
2021-07-19 19:18:25 UTC,76,0,,,,,,
2021-07-19 19:18:40 UTC,77,,0,,,,,
2021-07-19 19:18:56 UTC,78,1.999,,,,,,
2021-07-19 19:19:11 UTC,79,1.999,,,,,,
2021-07-19 19:19:32 UTC,80,1.999,,,,,,
2021-07-19 19:19:47 UTC,81,,0,,,,,
2021-07-19 19:20:02 UTC,82,,0,,,,,
2021-07-19 19:20:18 UTC,83,,,-127,,,,
2021-07-19 19:20:33 UTC,84,0.9156,,,,,,
2021-07-19 19:20:49 UTC,85,0.9156,,,,,,
2021-07-19 19:21:04 UTC,86,0,,,,,,
2021-07-19 19:24:31 UTC,87,0,,,,,,
2021-07-19 19:24:46 UTC,88,,0,,,,,
2021-07-19 19:25:01 UTC,89,,0,,,,,
2021-07-19 19:25:25 UTC,90,0,,,,,,
2021-07-19 19:25:40 UTC,91,,0,,,,,
2021-07-19 19:25:55 UTC,92,,0,,,,,
2021-07-19 19:26:17 UTC,93,0,,,,,,
2021-07-19 19:26:32 UTC,94,,0,,,,,
2021-07-19 19:26:47 UTC,95,,0,,,,,
2021-07-19 19:27:02 UTC,96,,0,,,,,
2021-07-19 19:27:17 UTC,97,,0,,,,,
2021-07-19 19:27:33 UTC,98,,,-127,,,,
2021-07-19 19:27:48 UTC,99,,,-127,,,,
2021-07-19 19:28:04 UTC,100,1.11519,,,,,,
2021-07-19 19:28:19 UTC,101,0,,,,,,
2021-07-19 19:28:36 UTC,102,0,,,,,,
2021-07-19 19:28:51 UTC,103,0,,,,,,
2021-07-19 19:29:06 UTC,104,,0,,,,,
2021-07-19 19:29:21 UTC,105,,0,,,,,
2021-07-19 19:29:37 UTC,106,0,,,,,,
2021-07-19 19:29:54 UTC,107,3.08185,,,,,,
2021-07-19 19:30:14 UTC,108,3.08185,,,,,,
2021-07-19 19:30:31 UTC,109,3.08185,,,,,,
2021-07-19 19:30:46 UTC,110,,,-127,,,,
2021-07-19 19:31:01 UTC,111,0,,,,,,
2021-07-19 19:31:16 UTC,112,,0,,,,,
2021-07-19 19:31:32 UTC,113,,,-127,,,,
2021-07-19 19:31:47 UTC,114,,0,,,,,
2021-07-19 19:32:06 UTC,115,0,,,,,,
2021-07-19 19:32:21 UTC,116,2.48849,,,,,,
2021-07-19 19:32:36 UTC,117,,0,,,,,
2021-07-19 19:32:52 UTC,118,,,-127,,,,
2021-07-19 19:33:08 UTC,119,0,,,,,,
2021-07-19 19:33:24 UTC,120,,0,,,,,
2021-07-19 19:33:41 UTC,121,0,,,,,,
2021-07-19 19:33:56 UTC,122,,0,,,,,
2021-07-19 19:34:12 UTC,123,,,-127,,,,
2021-07-19 19:34:27 UTC,124,,,-127,,,,
2021-07-19 19:34:42 UTC,125,,,-127,,,,
2021-07-19 19:34:58 UTC,126,9.2859,,,,,,
2021-07-19 19:35:13 UTC,127,9.2859,,,,,,
2021-07-19 19:35:29 UTC,128,,94,,,,,
2021-07-19 19:35:44 UTC,129,,,-127,,,,
2021-07-19 19:36:01 UTC,130,7.00427,,,,,,
2021-07-19 19:36:16 UTC,131,0,,,,,,
2021-07-19 19:36:33 UTC,132,0,,,,,,
2021-07-19 19:36:48 UTC,133,,0,,,,,
2021-07-19 19:37:03 UTC,134,,0,,,,,
2021-07-19 19:37:19 UTC,135,,,-127,,,,
2021-07-19 19:37:36 UTC,136,0,,,,,,
2021-07-19 19:37:51 UTC,137,16.99785,,,,,,
2021-07-19 19:38:06 UTC,138,,94,,,,,
2021-07-19 19:38:22 UTC,139,,,-127,,,,
2021-07-19 19:38:38 UTC,140,0,,,,,,
2021-07-19 19:38:53 UTC,141,,0,,,,,
2021-07-19 19:39:09 UTC,142,,,-127,,,,
2021-07-19 19:39:25 UTC,143,12.11974,,,,,,
2021-07-19 19:39:41 UTC,144,,,-127,,,,
2021-07-19 19:40:01 UTC,145,12.11974,,,,,,
2021-07-19 19:40:17 UTC,146,,,-127,,,,
2021-07-19 19:40:33 UTC,147,12.11974,,,,,,
2021-07-19 19:40:49 UTC,148,,0,,,,,
2021-07-19 19:41:04 UTC,149,,0,,,,,
